,movie,name,path,width,height
0,TheIncredibles,frame1-28-21.94.jpg,./data/cartoon_frames/TheIncredibles/frame1-28-21.94.jpg,720,304
1,InsideOut,frame1-05-59.40.jpg,./data/cartoon_frames/InsideOut/frame1-05-59.40.jpg,1920,1080
2,BabyBoss,frame1-08-58.90.jpg,./data/cartoon_frames/BabyBoss/frame1-08-58.90.jpg,1920,800
3,Coco,frame0-41-39.81.jpg,./data/cartoon_frames/Coco/frame0-41-39.81.jpg,1920,808
4,ToyStory4,frame0-36-37.29.jpg,./data/cartoon_frames/ToyStory4/frame0-36-37.29.jpg,1920,808
5,Onward,frame0-59-50.96.jpg,./data/cartoon_frames/Onward/frame0-59-50.96.jpg,1920,800
6,TheSecretLifeOfPets,frame0-43-29.71.jpg,./data/cartoon_frames/TheSecretLifeOfPets/frame0-43-29.71.jpg,1920,1024
7,TheIncredibles,frame1-32-17.58.jpg,./data/cartoon_frames/TheIncredibles/frame1-32-17.58.jpg,720,304
8,Onward,frame0-35-08.72.jpg,./data/cartoon_frames/Onward/frame0-35-08.72.jpg,1920,800
9,Zootopia,frame0-02-38.37.jpg,./data/cartoon_frames/Zootopia/frame0-02-38.37.jpg,1920,808
10,Cars3,frame0-32-41.87.jpg,./data/cartoon_frames/Cars3/frame0-32-41.87.jpg,1920,804
11,TheIncredibles,frame1-24-16.87.jpg,./data/cartoon_frames/TheIncredibles/frame1-24-16.87.jpg,720,304
12,Soul,frame0-52-04.35.jpg,./data/cartoon_frames/Soul/frame0-52-04.35.jpg,1920,800
13,BabyBoss,frame0-09-35.32.jpg,./data/cartoon_frames/BabyBoss/frame0-09-35.32.jpg,1920,800
14,TheSecretLifeOfPets,frame0-21-03.54.jpg,./data/cartoon_frames/TheSecretLifeOfPets/frame0-21-03.54.jpg,1920,1024
15,Soul,frame0-46-14.52.jpg,./data/cartoon_frames/Soul/frame0-46-14.52.jpg,1920,800
16,Onward,frame0-41-09.04.jpg,./data/cartoon_frames/Onward/frame0-41-09.04.jpg,1920,800
17,Zootopia,frame0-24-39.55.jpg,./data/cartoon_frames/Zootopia/frame0-24-39.55.jpg,1920,808
18,Coco,frame0-19-44.78.jpg,./data/cartoon_frames/Coco/frame0-19-44.78.jpg,1920,808
19,Soul,frame0-42-33.36.jpg,./data/cartoon_frames/Soul/frame0-42-33.36.jpg,1920,800
20,Zootopia,frame1-00-13.44.jpg,./data/cartoon_frames/Zootopia/frame1-00-13.44.jpg,1920,808
21,TheSecretLifeOfPets,frame0-45-06.11.jpg,./data/cartoon_frames/TheSecretLifeOfPets/frame0-45-06.11.jpg,1920,1024
22,Zootopia,frame0-16-15.25.jpg,./data/cartoon_frames/Zootopia/frame0-16-15.25.jpg,1920,808
23,Onward,frame1-13-58.55.jpg,./data/cartoon_frames/Onward/frame1-13-58.55.jpg,1920,800
24,InsideOut,frame0-24-47.61.jpg,./data/cartoon_frames/InsideOut/frame0-24-47.61.jpg,1920,1080
25,InsideOut,frame0-58-32.73.jpg,./data/cartoon_frames/InsideOut/frame0-58-32.73.jpg,1920,1080
26,ToyStory4,frame0-17-40.62.jpg,./data/cartoon_frames/ToyStory4/frame0-17-40.62.jpg,1920,808
27,Onward,frame0-40-28.10.jpg,./data/cartoon_frames/Onward/frame0-40-28.10.jpg,1920,800
28,BabyBoss,frame0-51-26.100.jpg,./data/cartoon_frames/BabyBoss/frame0-51-26.100.jpg,1920,800
29,ToyStory4,frame0-30-09.06.jpg,./data/cartoon_frames/ToyStory4/frame0-30-09.06.jpg,1920,808
30,TheSecretLifeOfPets,frame0-20-49.77.jpg,./data/cartoon_frames/TheSecretLifeOfPets/frame0-20-49.77.jpg,1920,1024
31,Luca,frame0-02-28.59.jpg,./data/cartoon_frames/Luca/frame0-02-28.59.jpg,1920,1024
32,Coco,frame1-10-09.76.jpg,./data/cartoon_frames/Coco/frame1-10-09.76.jpg,1920,808
33,TheSecretLifeOfPets,frame0-33-03.10.jpg,./data/cartoon_frames/TheSecretLifeOfPets/frame0-33-03.10.jpg,1920,1024
34,BabyBoss,frame1-16-59.76.jpg,./data/cartoon_frames/BabyBoss/frame1-16-59.76.jpg,1920,800
35,ToyStory4,frame1-08-34.41.jpg,./data/cartoon_frames/ToyStory4/frame1-08-34.41.jpg,1920,808
36,Onward,frame1-13-13.51.jpg,./data/cartoon_frames/Onward/frame1-13-13.51.jpg,1920,800
37,Coco,frame1-25-29.85.jpg,./data/cartoon_frames/Coco/frame1-25-29.85.jpg,1920,808
38,Luca,frame0-43-52.75.jpg,./data/cartoon_frames/Luca/frame0-43-52.75.jpg,1920,1024
39,Zootopia,frame0-33-53.86.jpg,./data/cartoon_frames/Zootopia/frame0-33-53.86.jpg,1920,808
40,Zootopia,frame0-35-08.88.jpg,./data/cartoon_frames/Zootopia/frame0-35-08.88.jpg,1920,808
